"RicNumero"|"RicProtocollo"|"RicData"|"RicDataConsegna"|"RicOrdineNumero"|"RicOrdineData"|"RicCodiceFornitore"|"RicRagSocFornitore"|"RicAnaArtCodice"|"RicAnaArtDescrizione"|"RicQuantitaOrdinata"|"RicQuantitaRicevuta"
"PO31743"|"2374217"|"20170221"|"20170221"|"PO31743"|"20170208"|"FO20170208_PO31743"|"SilverMotherCare"|"RB3A015408"|"SILVERMOTHERCARE-CH01-Chiama Angeli"|"0000000001"|"0000000001"
"PO31743"|"2374217"|"20170221"|"20170221"|"PO31743"|"20170208"|"FO20170208_PO31743"|"SilverMotherCare"|"RB3A015409"|"SILVERMOTHERCARE-CH02/L-Chiama Angeli Luna"|"0000000001"|"0000000001"
"PO31743"|"2374217"|"20170221"|"20170221"|""|"00000000"|"FO20170208_PO31743"|"SilverMotherCare"|"RB3A015418"|"SILVERMOTHERCARE-CH1100-Chiama Angeli a Cuore"|"0000000000"|"0000000001"
"PO31768"|"2368217"|"20170221"|"20170221"|"PO31768"|"20170214"|"FO20170214_PO31768"|"Toby Tiger"|"RB3A014465"|"TOBY TIGER-DUCDINO-Salopette Dinosauri 1-2 anni"|"0000000001"|"0000000001"
"PO31768"|"2368217"|"20170221"|"20170221"|"PO31768"|"20170214"|"FO20170214_PO31768"|"Toby Tiger"|"RB3A014491"|"TOBY TIGER-SLABWHALE-Pigiamino lungo a righe Balena 0-3 mesi"|"0000000001"|"0000000001"
"PO31768"|"2368217"|"20170221"|"20170221"|"PO31768"|"20170214"|"FO20170214_PO31768"|"Toby Tiger"|"RB3A014506"|"TOBY TIGER-SNOWHOG-Tuta Da Sci Riccio 12-18 mesi"|"0000000001"|"0000000001"
"PO31768"|"2368217"|"20170221"|"20170221"|"PO31768"|"20170214"|"FO20170214_PO31768"|"Toby Tiger"|"RB3A015068"|"TOBY TIGER-SLAMTREX-Tutina pigiamino T-REX 6-12 mesi"|"0000000001"|"0000000001"
"PO31768"|"2368217"|"20170221"|"20170221"|"PO31768"|"20170214"|"FO20170214_PO31768"|"Toby Tiger"|"RB3A015070"|"TOBY TIGER-SLABLION-Tutina pigiamino leoncino 3-6 mesi"|"0000000001"|"0000000001"
"PO31769"|"2369217"|"20170221"|"20170221"|"PO31769"|"20170216"|"FO20170216_PO31769"|"Aquascale"|"RB3A014985"|"AQUASCALE-84231090-Vaschetta digitale con bilancia incorporata"|"0000000020"|"0000000020"
"PO31772"|"2373217"|"20170221"|"20170221"|"PO31772"|"20170216"|"FO20170216_PO31772"|"IIAMO"|"RB3A015737"|"IIAMO-604-Biberon autoriscaldante da casa bianco e blu"|"0000000006"|"0000000006"
"PO31772"|"2373217"|"20170221"|"20170221"|"PO31772"|"20170216"|"FO20170216_PO31772"|"IIAMO"|"RB3A015742"|"IIAMO-703-Cartucce termiche per biberon autoriscaldante"|"0000000048"|"0000000048"
"PO31772"|"2373217"|"20170221"|"20170221"|"PO31772"|"20170216"|"FO20170216_PO31772"|"IIAMO"|"RB3A015743"|"IIAMO-301-Tettarella biberon autoriscaldante da 0 mesi"|"0000000003"|"0000000003"
"PO31772"|"2373217"|"20170221"|"20170221"|"PO31772"|"20170216"|"FO20170216_PO31772"|"IIAMO"|"RB3A015744"|"IIAMO-303-Tettarella biberon autoriscaldante da 3 mesi"|"0000000003"|"0000000003"
"PO31772"|"2373217"|"20170221"|"20170221"|"PO31772"|"20170216"|"FO20170216_PO31772"|"IIAMO"|"RB3A015745"|"IIAMO-304-Tettarella biberon autoriscaldante da 6 mesi"|"0000000006"|"0000000006"
"PO31772"|"2373217"|"20170221"|"20170221"|"PO31772"|"20170216"|"FO20170216_PO31772"|"IIAMO"|"RB3A015746"|"IIAMO-305-Tettarella biberon autoriscaldante da 0 o 3 o 6 mesi"|"0000000003"|"0000000003"
"PO31779"|"2371217"|"20170221"|"20170221"|"PO31779"|"20170216"|"FO20170216_PO31779"|"Itzy Ritzy"|"RB3A015367"|"ITZY RITZY-IR-MSWB8201-Set 2 buste porta-cibo volpe"|"0000000001"|"0000000001"
"PO31780"|"2372217"|"20170221"|"20170221"|"PO31780"|"20170216"|"FO20170216_PO31780"|"Kanga Care"|"RB3A011292"|"KANGA CARE-KC-C4012SP-Pannolino Rumparooz Fluff"|"0000000001"|"0000000001"
"PO31780"|"2372217"|"20170221"|"20170221"|"PO31780"|"20170216"|"FO20170216_PO31780"|"Kanga Care"|"RB3A016487"|"KANGA CARE-KCKRLLNZSXSM403-Set 2 Mutandine Di Transizione Bonnie e Jeweled S"|"0000000001"|"0000000001"
"PO31780"|"2372217"|"20170221"|"20170221"|"PO31780"|"20170216"|"FO20170216_PO31780"|"Kanga Care"|"RB3A016488"|"KANGA CARE-KCKRLLNZSXSM403-Set 2 Mutandine Di Transizione Bonnie e Jeweled M"|"0000000001"|"0000000001"
"PO31780"|"2372217"|"20170221"|"20170221"|"PO31780"|"20170216"|"FO20170216_PO31780"|"Kanga Care"|"RB3A016494"|"KANGA CARE-KCKRLLNZSXSM402-Set 2 Mutandine Di Transizione Charlie e Quinn L"|"0000000001"|"0000000001"
"PO31780"|"2372217"|"20170221"|"20170221"|"PO31780"|"20170216"|"FO20170216_PO31780"|"Kanga Care"|"RB3A016539"|"KANGA CARE-KCKETRNRSMS302-MutanDinda Di Transizione Boysenberry S"|"0000000003"|"0000000003"
