"RicNumero"|"RicProtocollo"|"RicData"|"RicDataConsegna"|"RicOrdineNumero"|"RicOrdineData"|"RicCodiceFornitore"|"RicRagSocFornitore"|"RicAnaArtCodice"|"RicAnaArtDescrizione"|"RicQuantitaOrdinata"|"RicQuantitaRicevuta"
"PO32342"|"3193217"|"20170608"|"20170608"|"PO32342"|"20170525"|"FO20170525_PO32342"|"BOIKIDO"|"RB3A018747"|"BOIKIDO-BKD80890070-Boikido Metro da Muro Albero"|"0000000002"|"0000000002"
"PO32343"|"3194217"|"20170608"|"20170608"|"PO32343"|"20170525"|"FO20170525_PO32343"|"BS"|"RB3A018725"|"BS-BTSGA022-Gioco BS Octopus waterparty"|"0000000004"|"0000000004"
"PO32343"|"3194217"|"20170608"|"20170608"|"PO32343"|"20170525"|"FO20170525_PO32343"|"BS"|"RB3A018726"|"BS-BTSGA028-Gioco BS Jumping Bags"|"0000000002"|"0000000002"
"PO32343"|"3194217"|"20170608"|"20170608"|"PO32343"|"20170525"|"FO20170525_PO32343"|"BS"|"RB3A018736"|"BS-BTSGA196-Gioco BS XXL Bubbles"|"0000000002"|"0000000002"
"PO32344"|"3195217"|"20170608"|"20170608"|"PO32344"|"20170525"|"FO20170525_PO32344"|"Yookidoo"|"RB3A017756"|"YOOKIDOO-YKD40127-Gymotion Tummy PlayLand"|"0000000006"|"0000000006"
"PO32345"|"3196217"|"20170608"|"20170608"|"PO32345"|"20170525"|"FO20170525_PO32345"|"Science4you"|"RB3A020258"|"SCIENCE4YOU-S4Y53-Mini Laboratorio di Cristalli"|"0000000001"|"0000000001"
"PO32345"|"3196217"|"20170608"|"20170608"|"PO32345"|"20170525"|"FO20170525_PO32345"|"Science4you"|"RB3A020261"|"SCIENCE4YOU-S4Y37-Vulcano"|"0000000002"|"0000000002"
"PO32345"|"3196217"|"20170608"|"20170608"|"PO32345"|"20170525"|"FO20170525_PO32345"|"Science4you"|"RB3A020262"|"SCIENCE4YOU-S4Y41-Fossili da Scavare: Stegosauro"|"0000000001"|"0000000001"
"PO32346"|"3197217"|"20170608"|"20170608"|"PO32346"|"20170525"|"FO20170525_PO32346"|"Qolor"|"RB3A020253"|"QOLOR-FVS993-16-Ultimate Play Box"|"0000000001"|"0000000001"
"PO32350"|"3191217"|"20170606"|"20170608"|"PO32350"|"20170526"|"FO20170526_PO32350"|"ChildHome"|"RB3A009983"|"CHILDHOME-CCCB60MW-Cesto Contenitore Stella Menta 60x32x32"|"0000000001"|"0000000001"
"PO32350"|"3191217"|"20170606"|"20170608"|"PO32350"|"20170526"|"FO20170526_PO32350"|"ChildHome"|"RB3A010083"|"CHILDHOME-CCASCGR-Cuscinetto Universale Angioletto Grigio"|"0000000002"|"0000000002"
"PO32350"|"3191217"|"20170606"|"20170608"|"PO32350"|"20170526"|"FO20170526_PO32350"|"ChildHome"|"RB3A010837"|"CHILDHOME-CHSBG-Set Pappa Verde e Bianco"|"0000000001"|"0000000001"
"PO32350"|"3191217"|"20170606"|"20170608"|"PO32350"|"20170526"|"FO20170526_PO32350"|"ChildHome"|"RB3A010843"|"CHILDHOME-CHWPG-Set Pappa con piatto riscaldato Verde e Bianco"|"0000000001"|"0000000001"
"PO32350"|"3191217"|"20170606"|"20170608"|"PO32350"|"20170526"|"FO20170526_PO32350"|"ChildHome"|"RB3A010903"|"CHILDHOME-CWNBCNA-Marsupio da Mare in Neoprene Blu Navy"|"0000000001"|"0000000001"
