"RicNumero"|"RicProtocollo"|"RicData"|"RicDataConsegna"|"RicOrdineNumero"|"RicOrdineData"|"RicCodiceFornitore"|"RicRagSocFornitore"|"RicAnaArtCodice"|"RicAnaArtDescrizione"|"RicQuantitaOrdinata"|"RicQuantitaRicevuta"
"PO32467"|"3396217"|"20170628"|"20170628"|"PO32467"|"20170613"|"FO20170613_PO32467"|"DUUKIES BEACH SOCKS"|"RB3A020748"|"DUUKIES BEACH SOCKS-BGC-30-31-Calze in Neoprene Bink Green Croco-30-31"|"0000000002"|"0000000004"
"PO32467"|"3396217"|"20170628"|"20170628"|"PO32467"|"20170613"|"FO20170613_PO32467"|"DUUKIES BEACH SOCKS"|"RB3A020750"|"DUUKIES BEACH SOCKS-BGC-34-35-Calze in Neoprene Bink Green Croco-34-35"|"0000000002"|"0000000002"
"PO32467"|"3396217"|"20170628"|"20170628"|"PO32467"|"20170613"|"FO20170613_PO32467"|"DUUKIES BEACH SOCKS"|"RB3A020768"|"DUUKIES BEACH SOCKS-KL-26-27-Calze in Neoprene Keet Leopard-26-27"|"0000000004"|"0000000003"
"PO32467"|"3396217"|"20170628"|"20170628"|"PO32467"|"20170613"|"FO20170613_PO32467"|"DUUKIES BEACH SOCKS"|"RB3A020777"|"DUUKIES BEACH SOCKS-LIC-28-29-Calze in Neoprene Lolly Icecream-28-29"|"0000000002"|"0000000002"
"PO32467"|"3396217"|"20170628"|"20170628"|"PO32467"|"20170613"|"FO20170613_PO32467"|"DUUKIES BEACH SOCKS"|"RB3A020780"|"DUUKIES BEACH SOCKS-LIC-34-35-Calze in Neoprene Lolly Icecream-34-35"|"0000000002"|"0000000002"
"PO32467"|"3396217"|"20170628"|"20170628"|"PO32467"|"20170613"|"FO20170613_PO32467"|"DUUKIES BEACH SOCKS"|"RB3A020785"|"DUUKIES BEACH SOCKS-MX-28-29-Calze in Neoprene Max-28-29"|"0000000005"|"0000000007"
"PO32467"|"3396217"|"20170628"|"20170628"|"PO32467"|"20170613"|"FO20170613_PO32467"|"DUUKIES BEACH SOCKS"|"RB3A020787"|"DUUKIES BEACH SOCKS-MX-32-33-Calze in Neoprene Max-32-33"|"0000000002"|"0000000004"
"PO32467"|"3396217"|"20170628"|"20170628"|"PO32467"|"20170613"|"FO20170613_PO32467"|"DUUKIES BEACH SOCKS"|"RB3A020788"|"DUUKIES BEACH SOCKS-MX-34-35-Calze in Neoprene Max-34-35"|"0000000002"|"0000000002"
"PO32467"|"3399217"|"20170628"|"20170628"|"PO32467"|"20170613"|"FO20170613_PO32467"|"DUUKIES BEACH SOCKS"|"RB3A020764"|"DUUKIES BEACH SOCKS-JDO-34-35-Calze in Neoprene Jack Blu Scuro e Arancione-34-35"|"0000000002"|"0000000006"
"PO32467"|"3401217"|"20170628"|"20170628"|"PO32467"|"20170613"|"FO20170613_PO32467"|"DUUKIES BEACH SOCKS"|"RB3A020764"|"DUUKIES BEACH SOCKS-JDO-34-35-Calze in Neoprene Jack Blu Scuro e Arancione-34-35"|"0000000002"|"0000000002"
"PO32484"|"3393217"|"20170628"|"20170628"|"PO32484"|"20170616"|"FO20170616_PO32484"|"Baby Elephant Ears"|"RB3A019593"|"BABY ELEPHANT EARS-1039-Baby Elephant Ears Cuscino Ergonomico con Grechine"|"0000000004"|"0000000004"
"PO32484"|"3393217"|"20170628"|"20170628"|"PO32484"|"20170616"|"FO20170616_PO32484"|"Baby Elephant Ears"|"RB3A019596"|"BABY ELEPHANT EARS-2026-Baby Elephant Ears Copertina con Macchinine"|"0000000002"|"0000000004"
"PO32484"|"3393217"|"20170628"|"20170628"|"PO32484"|"20170616"|"FO20170616_PO32484"|"Baby Elephant Ears"|"RB3A019602"|"BABY ELEPHANT EARS-7005-Baby Elephant Ears Cuscino Ergonomico Luxe Rosa Pastello"|"0000000004"|"0000000004"
"PO32484"|"3393217"|"20170628"|"20170628"|"PO32484"|"20170616"|"FO20170616_PO32484"|"Baby Elephant Ears"|"RB3A019604"|"BABY ELEPHANT EARS-7006-Baby Elephant Ears Cuscino Ergonomico Luxe Azzurro"|"0000000004"|"0000000004"
"PO32489"|"3394217"|"20170628"|"20170628"|"PO32489"|"20170616"|"FO20170616_PO32489"|"Funkit World"|"RB3A019650"|"FUNKIT WORLD-SBU-01-Funkit World Secchiello da Spiaggia in Silicone Blu"|"0000000020"|"0000000020"
"PO32489"|"3394217"|"20170628"|"20170628"|"PO32489"|"20170616"|"FO20170616_PO32489"|"Funkit World"|"RB3A019656"|"FUNKIT WORLD-SSP-53-Funkit World Paletta per la Sabbia in Silicone Viola"|"0000000010"|"0000000010"
