"SpeNumeroOrdine"|"SpeNumeroProtocollo"|"SpeEtichettaCollo"|"SpeTrackingNumero"|"SpeDataImport"|"SpeRigaOrdine"|"SpeArtCodice"|"SpeArtDescrizione"|"SpeArtQta"|"SpeCostoContrassegno"
"#22950"|"20395317"|"00000000000000218619"|"201705005000211"|"20170103"|"1"|"RB3A013474"|"BLADEeROSE-5060257461523-Hoodie Star Grey 9-12m"|"0000000001"|"0000047.81"
"#22950"|"20395317"|"00000000000000218619"|"201705005000211"|"20170103"|"2"|"RB3A013572"|"BLADEeROSE-5060257465767-Leggings Crazy Cat 6-12m"|"0000000001"|"0000047.81"
"#22947"|"20396317"|"00000000000000217979"|"201705005000139"|"20170103"|"1"|"RB20012R"|"Duux-DUBP01P-Proiettore per Bambini Rosa"|"0000000001"|"0000042.76"
"#22945"|"20397317"|"00000000000000218099"|"201705005000260"|"20170103"|"1"|"RB3A009312"|"ROCKETBABY-RBP15100301-Cesto per Passeggino Camaleonte"|"0000000001"|"0000031.86"
"#22941"|"20398317"|"00000000000000219559"|"201705005000196"|"20170103"|"1"|"RB3A015273"|"KAISER-6570625-Sacco Passeggino Nero"|"0000000001"|"0000050.89"
"#22938"|"20399317"|"00000000000000218329"|"201705005000153"|"20170103"|"1"|"RB3A012546"|"BLOOMINGVILLE-46200001-Set 3 valigette Scoiattolina"|"0000000001"|"0000096.64"
"#22938"|"20399317"|"00000000000000218329"|"201705005000153"|"20170103"|"2"|"RB3A009957"|"A LITTLE LOVELY COMPANY-BPIC002-Zainetto Gelato"|"0000000001"|"0000096.64"
"#22938"|"20399317"|"00000000000000218329"|"201705005000153"|"20170103"|"3"|"RB3A012798"|"TELLKIDDO-82-Sacco Portaoggetti Paper ABC"|"0000000001"|"0000096.64"
"#22938"|"20399317"|"00000000000000218329"|"201705005000153"|"20170103"|"4"|"RB3A016476"|"ROCKETBABY-RBP16361-Cesto Passeggino Coniglio"|"0000000001"|"0000096.64"
"#22927"|"20400317"|"00000000000000218879"|""|"20170103"|"1"|"RB3A014026"|"NIKE-454478-PICO 4 (TDV) ROSA 7C-EU23.5"|"0000000001"|"0000033.80"
"#22925"|"20401317"|"00000000000000217819"|"201705005000145"|"20170103"|"1"|"RB200041"|"ELODIE DETAILS-103883-Zaino Apple of my eye"|"0000000001"|"0000120.81"
"#22925"|"20401317"|"00000000000000217819"|"201705005000145"|"20170103"|"2"|"RB3A016476"|"ROCKETBABY-RBP16361-Cesto Passeggino Coniglio"|"0000000001"|"0000120.81"
