"SpeNumeroOrdine"|"SpeNumeroProtocollo"|"SpeEtichettaCollo"|"SpeTrackingNumero"|"SpeDataImport"|"SpeRigaOrdine"|"SpeArtCodice"|"SpeArtDescrizione"|"SpeArtQta"|"SpeCostoContrassegno"
"#26159"|"23831317"|"00000000000000254009"|"201705005112827"|"20170315"|"1"|"RB3A014986"|"AQUASCALE-94032080-Supporto per vaschetta digitale"|"0000000001"|"0000150.80"
"#26159"|"23831317"|"00000000000000254009"|"201705005112827"|"20170315"|"2"|"RB3A014985"|"AQUASCALE-84231090-Vaschetta digitale con bilancia incorporata"|"0000000001"|"0000150.80"
"#26153"|"23832317"|"00000000000000253759"|"201705005112976"|"20170315"|"1"|"RB3A012440"|"AFFENZAHN-AFZ-FAL-001-011-Zaino Kid Daria Dragon"|"0000000001"|"0000057.76"
"#26140"|"23833317"|"00000000000000254219"|"201705005113256"|"20170315"|"1"|"RB3A018639"|"LITTLELIFE-L10830-Zaino Littlelife 1-3 anni Dinosauro"|"0000000001"|"0000047.76"
"#26131"|"23834317"|"00000000000000254019"|"201705005112856"|"20170315"|"1"|"RB3A014985"|"AQUASCALE-84231090-Vaschetta digitale con bilancia incorporata"|"0000000001"|"0000094.40"
"#26125"|"23835317"|"00000000000000254029"|"201705005113121"|"20170315"|"1"|"RB3A009820"|"FCTRY-GLSTA24-Occhiali da Sole Baby Azzurri 0-2 anni"|"0000000001"|"0000026.86"
"#26120"|"23836317"|"00000000000000254079"|"201705005113072"|"20170315"|"1"|"RB3A013925"|"BLADEeROSE-5060257461578-Hoodie Star Red 3-6m"|"0000000001"|"0000110.01"
"#26120"|"23836317"|"00000000000000254079"|"201705005113072"|"20170315"|"2"|"RB3A013576"|"BLADEeROSE-5060257466337-Socks Crazy Cat 0-6m"|"0000000001"|"0000110.01"
"#26120"|"23836317"|"00000000000000254079"|"201705005113072"|"20170315"|"3"|"RB3A013889"|"BLADEeROSE-5060257461868-Leggings Rocket 0-6m"|"0000000001"|"0000110.01"
"#26120"|"23836317"|"00000000000000254079"|"201705005113072"|"20170315"|"4"|"RB3A013888"|"BLADEeROSE-5060257463305-Bibs Rocket"|"0000000001"|"0000110.01"
"#26120"|"23836317"|"00000000000000254079"|"201705005113072"|"20170315"|"5"|"RB3A014009"|"BLADEeROSE-5060257465903-Leggings Zap! (Atol) 0-6m"|"0000000001"|"0000110.01"
"#26120"|"23836317"|"00000000000000254079"|"201705005113072"|"20170315"|"6"|"RB3A013725"|"BLADEeROSE-5060257462674-Socks Martie Monster 0-6m"|"0000000001"|"0000110.01"
"#26120"|"23836317"|"00000000000000254079"|"201705005113072"|"20170315"|"7"|"RB3A013621"|"BLADEeROSE-5060257466856-Top Distressed Star Grey 3-6m"|"0000000001"|"0000110.01"
"#25950"|"23837317"|"00000000000000254159"|"201705005113188"|"20170315"|"1"|"RB3A017495"|"BOON-B373-Scolaposate e Scola Biberon Quadrato"|"0000000001"|"0000114.67"
"#25950"|"23837317"|"00000000000000254159"|"201705005113188"|"20170315"|"2"|"RB3A015742"|"IIAMO-703-Cartucce termiche per biberon autoriscaldante"|"0000000001"|"0000114.67"
"#25950"|"23837317"|"00000000000000254159"|"201705005113188"|"20170315"|"3"|"RB3A015741"|"IIAMO-108-Biberon Go bianco e blu"|"0000000001"|"0000114.67"
"#25950"|"23837317"|"00000000000000254159"|"201705005113188"|"20170315"|"4"|"RB3A017732"|"BLOOMING BATH-004020-Vasca A Fiore Per Il Bagnetto Gialla"|"0000000001"|"0000114.67"
"#25794"|"23838317"|"00000000000000254109"|"201705005113200"|"20170315"|"1"|"RB3A013443"|"ELODIE DETAILS-103667-Trousse ZipeGo DOT"|"0000000001"|"0000129.56"
"#25794"|"23838317"|"00000000000000254109"|"201705005113200"|"20170315"|"2"|"RB3A013425"|"ELODIE DETAILS-103685-Copertina Pearl Velvet DOT"|"0000000001"|"0000129.56"
"#25794"|"23838317"|"00000000000000254109"|"201705005113200"|"20170315"|"3"|"RB3A017733"|"BLOOMING BATH-004021-Vasca A Fiore Per Il Bagnetto Azzurra"|"0000000001"|"0000129.56"
"#25758"|"23839317"|"00000000000000253729"|"201705005112880"|"20170315"|"1"|"RB3A012347"|"CUPCAKE BABIES-VDBB05-Cappello Anti Schiuma Blu"|"0000000002"|"0000027.72"
"#25753"|"23840317"|"00000000000000254089"|"201705005113348"|"20170315"|"1"|"RB3A015063"|"TOBY TIGER-SLAPCAT-Tutina pigiamino gattino 0-3 mesi"|"0000000001"|"0000192.50"
"#25753"|"23840317"|"00000000000000254089"|"201705005113348"|"20170315"|"2"|"RB3A015033"|"TOBY TIGER-SLOGIRSTR-Tutina pigiamino a righe bambina 0-3 mesi"|"0000000001"|"0000192.50"
"#25753"|"23840317"|"00000000000000254089"|"201705005113348"|"20170315"|"3"|"RB3A013708"|"BLADEeROSE-5060257461684-Leggings Katie Kitten  0-6m"|"0000000001"|"0000192.50"
"#25753"|"23840317"|"00000000000000254089"|"201705005113348"|"20170315"|"4"|"RB3A013774"|"BLADEeROSE-5060257466153-Leggings Pineapple 0-6m"|"0000000001"|"0000192.50"
"#25753"|"23840317"|"00000000000000254089"|"201705005113348"|"20170315"|"5"|"RB3A012354"|"CUPCAKE BABIES-CCBBW03-Set Baby Bath 2 in 1 Bianco"|"0000000001"|"0000192.50"
"#25753"|"23840317"|"00000000000000254089"|"201705005113348"|"20170315"|"6"|"RB3A017731"|"BLOOMING BATH-004019-Vasca A Fiore Per Il Bagnetto Fucsia"|"0000000001"|"0000192.50"
