SpeNumeroOrdine;SpeNumeroProtocollo;SpeEtichettaCollo;SpeTrackingNumero;SpeDataImport;SpeRigaOrdine;SpeArtCodice;SpeArtDescrizione;SpeArtQta;COD
#30146;29271317;316089;201705005236292;20170609;1;RB3A019784;OLI AND CAROL-DSM-G-PAPERA SMALL MONOCROME VERDE;1;0
#30146;29271317;316089;201705005236292;20170609;2;RB3A012834;BROTHER MAX-71251BG2-Set 2 cucchiaini termosensibili blu e verde;1;0
#30146;29271317;316089;201705005236292;20170609;3;RB3A012830;BROTHER MAX-71350BG2-Set 2 ciotole impugnatura facile blu e verde;1;0
#30146;29271317;316089;201705005236292;20170609;4;RB3A010837;CHILDHOME-CHSBG-Set Pappa Verde e Bianco;1;0
#30146;29271317;316089;201705005236292;20170609;5;RB3A018741;LOLLIPOPS AND MORE-2952349927624-Lollipops and More Pacifier Tootzie Roll Clip Grey Green;1;0
#30146;29271317;316089;201705005236292;20170609;6;RB3A020241;NUOTA CON FLIPPER-2000994052083-GIALLO-Ciambella Collo Gialla;1;0
#30146;29271317;316089;201705005236292;20170609;7;RB3A019842;SKIP HOP-235100-Moby -COLORE UNICO;1;0
#30190;29267317;315859;201705005236292;20170609;1;RB3A010114;ELODIE DETAILS-103313-Copertina Bambu Colori del Vento;1;0
#30190;29267317;315859;201705005236292;20170609;2;RB3A010296;KUK-F115-46-Set 2 Copertine 70x60 Animali del Bosco;1;0
#30190;29267317;315859;201705005236292;20170609;3;RB3A017485;EFFII-5901832944669-Cuscino Allattamento Luna Blu XXL;1;0
#30190;29267317;315859;201705005236292;20170609;4;RB3A017869;CHILDHOME-CHBTUB-BABY TUB BUCKET BLUE;1;0
