SpeNumeroOrdine|SpeNumeroProtocollo|SpeEtichettaCollo|SpeTrackingNumero|SpeDataImport|SpeRigaOrdine|SpeArtCodice|SpeArtDescrizione|SpeArtQta|COD
#22927|20400317|218879|201705005000344|20170103|1|RB3A014026|NIKE-454478-PICO 4 (TDV) ROSA 7C-EU23.5|1|33,8
#22920|20403317|219859|201705005000356|20170103|1|RB3A015738|IIAMO-105-Biberon autoriscaldante da viaggio bianco e rosa|1|26,86
#22936|20520317|220149|201705005000350|20170103|1|RB3A017388|BABYBREZZA-FRP0045EU-Macchinetta Del Latte In Polvere|1|0
#22929|20582317|220159|201705005000351|20170103|1|RB3A017388|BABYBREZZA-FRP0045EU-Macchinetta Del Latte In Polvere|1|0
#23016|21199317|225629|201705005019479|20170116|1|RB3A015741|IIAMO-108-Biberon autoriscaldante da viaggio bianco e blu|1|91,88
#23016|21199317|225629|201705005019479|20170116|2|RB3A007769|SPUGNOTTO-Spugnotto Blu e Giallo|2|91,88
#23146|21526317|228889|201705005038146|20170119|1|RB3A010165|CHILDHOME-WAKWM-Fasciatoio Graduato Bianco|1|0
#23146|21526317|228889|201705005038146|20170119|2|RB3A013130|BAMBOOM-104-000-051-BODY Short sleeves (front opening) BIANCO-TAGLIA-0-1M|1|0
#23146|21526317|228889|201705005038146|20170119|3|RB3A013148|BAMBOOM-104-003-004-CAMBIO COVER SQUARE - Changing mat elastic 50x70cm SABBIA CHIARO-0|1|0
#23146|21526317|228889|201705005038146|20170119|4|RB3A015261|MINIROOM-MR-B-003-Pupazzo Little Bunny Grey|1|0
#25501|23223317|247459|201705005092387|20170228|1|RB3A014985|AQUASCALE-84231090-Vaschetta digitale con bilancia incorporata|1|94,4
#25500|23224317|247469|201705005092388|20170228|1|RB3A014985|AQUASCALE-84231090-Vaschetta digitale con bilancia incorporata|1|94,4
#25495|23241317|247479|201705005092386|20170228|1|RB3A014986|AQUASCALE-94032080-Supporto per vaschetta digitale|1|0
#25495|23241317|247479|201705005092386|20170228|2|RB3A014985|AQUASCALE-84231090-Vaschetta digitale con bilancia incorporata|1|0
#28859|26574317|285699|201705005184016|20170505|1|RB3A009901|A LITTLE LOVELY COMPANY-LTCW025-Lampada Mini Nuvoletta Bianca|1|31,13
#28859|26574317|285699|201705005184016|20170505|2|RB3A013051|A LITTLE LOVELY COMPANY-LTSY032-Lampada Mini Stella Gialla|1|31,13
#28500|26581317|285749|201705005183921|20170505|1|RB3A019669|BUBBLEGUM STUFF-12435-Bubblegum Stuff Gentleman Baby Bottle Champagne Flute|1|40,82
#28500|26581317|285749|201705005183921|20170505|2|RB3A010865|FCTRY-GLSTA31-Occhiali da Sole Baby Neri 3-6 anni|1|40,82
#28331|26589317|285709|201705005183998|20170505|1|RB3A009901|A LITTLE LOVELY COMPANY-LTCW025-Lampada Mini Nuvoletta Bianca|1|83,64
#28331|26589317|285709|201705005183998|20170505|2|RB3A014888|ROCKETBABY-RBP16330-Cesto Portagiochi Unicorno|1|83,64
#28331|26589317|285709|201705005183998|20170505|3|RB3A019669|BUBBLEGUM STUFF-12435-Bubblegum Stuff Gentleman Baby Bottle Champagne Flute|1|83,64
#28331|26589317|285709|201705005183998|20170505|4|RB3A016476|ROCKETBABY-RBP16361-Cesto Passeggino Coniglio|1|83,64
#28212|26597317|285819|201705005183919|20170505|1|RB3A019649|MAMMA BABY OLCELLI-DOSOLB-Mamma Baby Olcelli Crema Dopo Sole Baby|1|67,64
#28212|26597317|285819|201705005183919|20170505|2|RB3A019647|MAMMA BABY OLCELLI-SOL50B-Mamma Baby Olcelli Crema per il Sole Baby Protezione 50+|1|67,64
#28212|26597317|285819|201705005183919|20170505|3|RB3A012346|CUPCAKE BABIES-VDBR06-Cappello Anti Schiuma Rosa|1|67,64
#28212|26597317|285819|201705005183919|20170505|4|RB3A016477|ROCKETBABY-RBP16362-Cesto Passeggino Pecora|1|67,64
#28156|26598317|285829|201705005183924|20170505|1|RB3A012346|CUPCAKE BABIES-VDBR06-Cappello Anti Schiuma Rosa|1|30,82
#28156|26598317|285829|201705005183924|20170505|2|RB3A018674|NUM NUM-NUM100-Num Num Set 2 Cucchiai|1|30,82
#28096|26599317|285769|201705005183926|20170505|1|RB3A018674|NUM NUM-NUM100-Num Num Set 2 Cucchiai|1|55,68
#28096|26599317|285769|201705005183926|20170505|2|RB3A011065|BABY BITES-CUBR VICHY L-Culotte Double Face Baby a Quadretti e Bianche L|1|55,68
#28096|26599317|285769|201705005183926|20170505|3|RB3A019637|I PLAY-721054-816-Iplay Costumino Pannolino Contenitivo Mix'n Match Grigio-12 Mesi|1|55,68
#28694|26613317|285689|201705005184019|20170505|1|RB3A009819|FCTRY-GLSTA23-Occhiali da Sole Baby Rosa 0-2 anni|1|0
#28694|26613317|285689|201705005184019|20170505|2|RB3A012346|CUPCAKE BABIES-VDBR06-Cappello Anti Schiuma Rosa|1|0
#28491|26618317|285789|201705005183916|20170505|1|RB3A018165|ELODIE DETAILS-103447-BAVAGLINO BANDANA GRAPHIC DEVOTION|1|0
#28491|26618317|285789|201705005183916|20170505|2|RB3A019632|I PLAY-721054-642-Iplay Costumino Pannolino Contenitivo Mix'n Match Royal Viking Sea-12 Mesi|1|0
#28491|26618317|285789|201705005183916|20170505|3|RB3A011312|KANGA CARE-KC-KRRUMPSOS-P119-Pannolino Rumparooz Unity|1|0
#28279|26633317|285739|201705005183913|20170505|1|RB3A014986|AQUASCALE-94032080-Supporto per vaschetta digitale|1|0
#28279|26633317|285739|201705005183913|20170505|2|RB3A014985|AQUASCALE-84231090-Vaschetta digitale con bilancia incorporata|1|0
#28279|26633317|285739|201705005183913|20170505|3|RB3A010488|KUK-FF146-03-Pigiama con piedini Amici del Bosco Verde 0-3 mesi|1|0
#28279|26633317|285739|201705005183913|20170505|4|RB3A009991|CHILDHOME-CCCB30MW-Cesto Contenitore Stella Menta 20x40x30|1|0
#28279|26633317|285739|201705005183913|20170505|5|RB3A014893|ROCKETBABY-RBP16335-Scatola Portagiochi Leone|1|0
#28279|26633317|285739|201705005183913|20170505|6|RB3A017340|SMOKO-UNIWEI-Lampada Unicorno Bianca Piccola|1|0
