"StkCodiceFornitore"|"StkRagSocFornitore"|"StkAnaArtCodice"|"StkAnaArtDescrizione"|"StkQuantitaTotale"|"StkQuantitaImpegnata"|"StkQuantitaDisponibile"
"00002"|"ROCKETBABY"|"RB20004D"|"ELODIE DETAILS-103777-Materassino da Passeggino Petit Royal"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB20006H"|"FCTRY-pcsta02-Ciuccio Cowboy"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB20006J"|"FCTRY-pcsta01-Ciuccio Gentleman"|"0000000002"|"0000000000"|"0000000002"
"00002"|"ROCKETBABY"|"RB2000D8"|"MAMMA BABY OLCELLI-pochette-Pochette"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB2000GS--LS-CO"|"SNURK-Lenzuolo/Copripiumino 140 x 220 +1 Federa-Copripiumino Ballerina"|"0000000002"|"0000000000"|"0000000002"
"00002"|"ROCKETBABY"|"RB2000JY-GI-1-CO"|"LIMOBASICS-09511R 1 zen-Cuffietta Newborn"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB2000K6-GC-60-CO"|"LIMOBASICS-09408J_GRI_S-Copripiumino gri"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB2000K7-VM-M1-CO"|"LIMOBASICS-70502R_MOS_56-Baby Pack"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB2000X5-BN-4_8M-CO"|"LIMOBASICS-19522R_AZM_62-68-Body Manica Corta Scollo Tondo"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB2000YX--2A-"|"HOLLY e BEAU-HBMONMAC2-Impermeabile cambiacolori Mostri 2 anni"|"0000000006"|"0000000000"|"0000000006"
"00002"|"ROCKETBABY"|"RB2000ZH--M-"|"Baby Bites-STAR-ROSA-Star Chevron Rosa M"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB20012Q"|"Duux-DUBP01-Proiettore per Bambini Bianco"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB20012R"|"Duux-DUBP01P-Proiettore per Bambini Rosa"|"0000000016"|"0000000000"|"0000000016"
"00002"|"ROCKETBABY"|"RB20012S"|"Duux-DUBP01B-Proiettore per Bambini blu"|"0000000006"|"0000000000"|"0000000006"
"00002"|"ROCKETBABY"|"RB20012T"|"Duux-DUBP02-Proiettore per Bambini Bluetooth"|"0000000011"|"0000000000"|"0000000011"
"00002"|"ROCKETBABY"|"RB20012X"|"Duux-DUAH02-Umidificatore D'aria Funghetto Rosso"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB2AJ300337"|"HOOBBE-LUNCH BOX GREEN-Lunch box Verde"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A007501"|"3SPROUTS-3SSOWH-Cesto per passeggino Balena"|"0000000003"|"0000000000"|"0000000003"
"00002"|"ROCKETBABY"|"RB3A007975"|"LIMOBASICS-22525R_AZM_62-68-Tutina manica corta scollo tondo blu navy AZM"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A008061"|"LIMOBASICS-11450J_DEN_86-92-Abitino manica corta scollo tondo denim DEN"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A008333"|"COQ EN PATE-L13EACSMBTIG-Bavaglino gigante Tigre"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A008952"|"TYRRELL KATZ-Bicchiere trasparente motori"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A008955"|"TYRRELL KATZ-Bicchiere trasparente Giungla"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A008970"|"TYRRELL KATZ-Bicchiere con manici motori"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A009082"|"OEUF-7SPCR04-EU-Culla Sparrow Betulla"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A009312"|"ROCKETBABY-RBP15100301-Cesto per Passeggino Camaleonte"|"0000000006"|"0000000000"|"0000000006"
"00002"|"ROCKETBABY"|"RB3A009313"|"ROCKETBABY-RBP15100302-Cesto per Passeggino Elefante Verde"|"0000000011"|"0000000000"|"0000000011"
