"StkCodiceFornitore"|"StkRagSocFornitore"|"StkAnaArtCodice"|"StkAnaArtDescrizione"|"StkQuantitaTotale"|"StkQuantitaImpegnata"|"StkQuantitaDisponibile"
"00002"|"ROCKETBABY"|"RB20006H"|"FCTRY-pcsta02-Ciuccio Cowboy"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB20006J"|"FCTRY-pcsta01-Ciuccio Gentleman"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB2000D8"|"MAMMA BABY OLCELLI-pochette-Pochette"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB2000JV-BN-M1-CO"|"LIMOBASICS-09520R_AZM_56-Body Kimono a Manica Corta"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB2000JY-GI-1-CO"|"LIMOBASICS-09511R 1 zen-Cuffietta Newborn"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB2000K6-GC-60-CO"|"LIMOBASICS-09408J_GRI_S-Copripiumino gri"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB2000K7-VM-M1-CO"|"LIMOBASICS-70502R_MOS_56-Baby Pack"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB2000X0"|"ROLLY BRUSH-00pw0140-Sapone Liquido 300 ml Sponge bob"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB2000X5-BN-4_8M-CO"|"LIMOBASICS-19522R_AZM_62-68-Body Manica Corta Scollo Tondo"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB2000YX--2A-"|"HOLLY e BEAU-HBMONMAC2-Impermeabile cambiacolori Mostri 2 anni"|"0000000005"|"0000000000"|"0000000005"
"00002"|"ROCKETBABY"|"RB2000ZH--M-"|"Baby Bites-STAR-ROSA-Star Chevron Rosa M"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB20012R"|"Duux-DUBP01P-Proiettore per Bambini Rosa"|"0000000016"|"0000000000"|"0000000016"
"00002"|"ROCKETBABY"|"RB20012S"|"Duux-DUBP01B-Proiettore per Bambini blu"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB20012X"|"Duux-DUAH02-Umidificatore D'aria Funghetto Rosso"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A007501"|"3SPROUTS-3SSOWH-Cesto per passeggino Balena"|"0000000003"|"0000000000"|"0000000003"
"00002"|"ROCKETBABY"|"RB3A007740"|"COQ EN PATE-L13ESACRUKMBREN-Sacca Volpe"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A007850"|"LIMOBASICS-09509R_AZM_74-80-Culotte blu navy AZM"|"0000000002"|"0000000000"|"0000000002"
"00002"|"ROCKETBABY"|"RB3A007975"|"LIMOBASICS-22525R_AZM_62-68-Tutina manica corta scollo tondo blu navy AZM"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A008061"|"LIMOBASICS-11450J_DEN_86-92-Abitino manica corta scollo tondo denim DEN"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A008309"|"COQ EN PATE-L15ACCBOBMBPAN-Cappellino Panda S (6-18 mesi)"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A008322"|"COQ EN PATE-L13EACCBOBMBGIRCappellino Giraffa M (2-3 anni)"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A008327"|"COQ EN PATE-L13EACCBOBMBBALCappellino Balena S (6-18 mesi)"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A008382"|"WISHBONE-WBBCS6-Coprisella Viola per Bici-triciclo"|"0000000001"|"0000000000"|"0000000001"
